Time,Theoretical,Seven_day_modulated,Fourteen_day_modulated,Twentyone_day_modulated,Different_day_modulated
137,1416.3571011037893,1284.78068562507,919.6896093763739,1270.6143092023115,1270.6143092023115
138,1398.6207775547819,1509.9121599925588,1290.9507879823338,1436.9448709883145,1436.9448709883145
139,1380.387129776381,1257.7191909388093,1164.3793414338988,1062.3870922499152,1062.3870922499152
140,1361.8424829870526,1230.1628348285008,1230.1628348285008,876.3457789626015,876.3457789626015
141,1343.1296011003078,1375.5022820224842,1466.3228294819514,898.6578401113901,898.6578401113901
142,1324.2789232784576,1368.7834520043075,1576.1062192752356,869.3245418927621,869.3245418927621
143,1305.2625908755401,1330.9004782043598,1667.3549808990103,921.0834968476034,921.0834968476034
144,1286.1583641073767,1406.1953544400099,1827.0123170456266,1149.1710802996904,1149.1710802996904
145,1267.0855225191906,1321.1332270659868,1717.1527962535097,1205.8261834728974,1205.8261834728974
146,1248.1180798038622,1095.9855741703293,1336.5124566582438,1063.6842361711883,1063.6842361711883
147,1229.2901273711823,1232.9215390410975,1232.9215390410975,1232.9215390410975,1232.9215390410975
